nom_etab;région;latitude;longitude
Institut des Techniciens Spécialisés en Agriculture de Tétouan;Tanger_Tétouan_Al Hoceima;35.51787521456452;-5.4337282430527685
Institut des Techniciens Spécialisés en Agriculture de Larache;Tanger_Tétouan_Al Hoceima;35.18126302901532;-6.113790447130898
Institut Technique Agricole d’Izemouren;Tanger_Tétouan_Al Hoceima;35.16635551305959;-3.9901587067464273
Centre de Qualification Agricole de ksar El kebir;Tanger_Tétouan_Al Hoceima;34.98539903998979;-5.913593996754496
Centre de Qualification Agricole de Midar;Oriental;34.94122138705886;-3.5247649626159094
Lycée Agricole de Berkane;Oriental;34.95035205270216;-2.326771754518801
Institut Technique Agricole de Berkane;Oriental;34.99017710261833;-2.326035122135635
Institut des Techniciens Spécialisés en Agriculture de Zraib;Oriental;34.990159523418846;-2.325981477961512
Centre de Qualification Agricole de Bouchtat;Oriental;34.69664880133465;-1.8747862924916738
Institut Technique Agricole de Taourirt;Oriental;34.437355876975076;-2.9564934490749932
Lycée Agricole Technique  Ain Taoujtate;Fès_Meknès;33.936213890513365;-5.217077254908672
Centre de qualification agricole Bouderbala;Fès_Meknès;33.81890239776779;-5.272177982406758
Ecole nationale d’agriculture de Meknès;Fès_Meknès;33.8437060518793;-5.4774544355821435
Centre de qualification agricole Missour;Fès_Meknès;33.0462093785271;-3.9733859067464254
Centre de qualification agricole Menzel;Fès_Meknès;33.86508585693655;-4.470656293253573
Institut des techniciens spécialisés en génie rural et topographie;Fès_Meknès;33.87620255118979;-5.546068393253575
Institut des techniciens spécialisés en horticulture de Meknès;Fès_Meknès;33.88070351695997;-5.552068494801183
Lycée agricole Oued Mlil;Fès_Meknès;34.19341032945496;-4.257324481940369
Institut des techniciens agricoles Sahel Boutaher;Fès_Meknès;34.53474420786571;-4.804313801805881
Ecole Nationale Forestière d’ingénieurs;Rabat_Salé_Kénitra;34.04181325597525;-6.800432435582141
Institut National de la Recherche Agronomique;Rabat_Salé_Kénitra;34.009356353106114;-6.850180859635687
Institut Royal des Techniciens Spécialisés en Elevage de Fouarat;Rabat_Salé_Kénitra;34.25792974523082;-6.532025404948254
Institut Royal des Techniciens Spécialisés des Eaux et Forêts;Rabat_Salé_Kénitra;34.04434725364525;-6.800219168282303
Institut des Techniciens Spécialisés en Mécanique Agricole et Equipement Rural de Bouknadel;Rabat_Salé_Kénitra;34.10286383242033;-6.76421861898671
Institut des Techniciens Spécialisés en Agriculture de Temara;Rabat_Salé_Kénitra;33.869586123657136;-6.91930846158159
Institut Technique Agricole deTiflet;Rabat_Salé_Kénitra;33.8170899157008;-6.332354164469017
Institut Technique Agricole de Machraa Belksiri;Rabat_Salé_Kénitra;34.578481771040764;-5.939307978002722
Centre de Qualification Agricole d’Oulmès;Rabat_Salé_Kénitra;33.43980351945337;-6.016848290865412
Centre de Qualification Agricole de Sidi Allal Tazi;Rabat_Salé_Kénitra;34.53542462512714;-6.327517979807076
Ecole d’Agriculture de Temara;Rabat_Salé_Kénitra;33.873092349789154;-6.925204749074994
Lycée Agricole de Machraa Belksiri;Rabat_Salé_Kénitra;34.5784994381995;-5.939275791403562
Institut Agronomique et Vétérinaire Hassan II;Rabat_Salé_Kénitra;33.976541613791795;-6.866704564282432
ITSA de Ben Khlil;Béni Mellal_Khénifra;32.75465702612527;-5.677326068805868
Centre de qualification d'agriculture Bir Mezoui;Béni Mellal_Khénifra;32.90346996626293;-6.683910911464268
CQA Ouled Fennane;Béni Mellal_Khénifra;32.992087999984676;-6.574794872844878
Lycée Agricole de Fquih Ben Salah;Béni Mellal_Khénifra;32.514446022378365;-6.66423758965047
ITSA de Fquih Ben Salah;Béni Mellal_Khénifra;32.515621200305304;-6.664192795298601
ITSA de Sidi Hammadi;Béni Mellal_Khénifra;32.28947671113546;-6.567977853820974
ITA Khmiss Mettouh;Casablanca_Settat;32.87822290734378;-8.178425179760724
ITSA Ouled Moumen;Casablanca_Settat;32.96440252231556;-7.66112582208929
ITSA Ain Jemaa;Casablanca_Settat;33.48610666907425;-7.708889649074994
Institut Prince Sidi Mohammed des Techniciens Spécialisés en Gestion et Commerce Agricole de Mohammedia (IPSMGCA);Casablanca_Settat;33.61875705550833;-7.346804477910711
Institut des Techniciens Spécialisés en Agriculture ITSA Souihla;Marrakech_Safi;31.675104906659495;-8.204897162567846
Lycée Agricole Jemâa Shaim;Marrakech_Safi;32.34694786776349;-8.829691462567844
CQA Chichaoua;Marrakech_Safi;31.554418669425857;-8.734538470995307
Institut des Techniciens Agricoles ITA Attaouia;Marrakech_Safi;31.837745784877914;-7.307825797013489
Centre de Qualification Agricole CQA Ouled Bougrine;Marrakech_Safi;32.11186123493385;-7.403931290028482
Institut des Techniciens Spécialisés en Agriculture d’Errachidia;Drâa_Tafilalet;31.933889318065145;-4.45424197609331
Centre de Qualification Agricole de Kelâat M’Gouna;Drâa_Tafilalet;31.235874441502247;-6.122764720239277
Complexe Horticole d’Agadir;Souss_Massa;30.355573195757408;-9.477270506746425
Institut des Techniciens Spécialisés en Agriculture d’Ait Melloul;Souss_Massa;30.356254636485268;-9.4760070302863
Institut des Techniciens Spécialisés en Agriculture d’Ouled Teïma;Souss_Massa;30.386847165545827;-9.226857179760723
CQA Taroudant;Souss_Massa;30.493716819287425;-8.8397161176671
Institut Technique Agricole de Sidi Bibi;Souss_Massa;30.188966748760777;-9.538681249074994
Centre de Qualification Agricole de Tiznit;Souss_Massa;29.683592051184096;-9.730812377910707
Institut des Techniciens Spécialisés en Agriculture de Guelmim;Guelmim_Oued Noun;28.969136296872563;-10.057042733732127
Institut des Techniciens Spécialisés en Agriculture de Laâyoune;Laâyoune_Sakia El Hamra;27.128854540035405;-13.156267285374621
