nom_region;sup_agri_utile;sup_irrigable;sup_goutte_a_goutte;bovins;ovins;caprins;camelins
Tanger_Tetouan_Al Hoceima;729149;66174;32337;356180;800000;470000;0
Oriental;889450;181388;40236;123400;3200000;960000;0
Fes_Meknes;1235521;193542;82759;426370;2990000;423900;0
Rabat_Sale_Kenitra;942980;208000;83000;603649;1936253;158925;0
Beni Mellal_Khenifra;994463;226293;40975;378000;2770000;967000;0
Casablanca_Settat;1263042;168238;56990;768490;2560344;88100;0
Marrakech_Safi;2055977;345032;105600;471000;3800000;793000;0
Draa_Tafilalet;270910;201922;36868;84518;1451000;650800;0
Souss_Massa;453445;174862;108192;149800;1356000;1128000;0
Guelmim_Oued Noun;164099;36602;3000;0;214833;242784;33080
Laayoune_Sakia El Hamra;136000;5543;1051;0;206000;302000;105000
Dakhla_Oued Ed_Dahab;100000;1152;1083;0;40000;30000;40000
